Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
AUD/USD,0.76180,0.00006,0.1440,-0.5950,0.0001,0.10000,1.905,400.000,1000.0,0.600, 
EUR/CHF,1.07962,0.00004,0.0800,-0.2600,0.0001,0.09263,75.000,13.334,1000.0,0.800, 
EUR/USD,1.12579,0.00001,-0.4370,0.2000,0.0001,0.10000,2.815,399.996,1000.0,0.600, 
GBP/USD,1.43958,0.00008,-0.2440,-0.1760,0.0001,0.10000,3.599,399.994,1000.0,0.600, 
GER30,9946.00,6.0000,-0.0589,-0.0721,0.1000,0.10000,27.990,355.341,1.0,0.000, 
NAS100,4420.20,1.00000,-0.0242,-0.0342,0.1000,0.10000,11.050,400.018,1.0,0.000, 
SPX500,2050.30,0.40000,-0.0111,-0.0157,0.1000,0.10000,5.130,399.669,1.0,0.000, 
UK100,6196.10,1.80000,-0.0503,-0.0333,0.1000,0.10000,22.300,277.852,1.0,0.000, 
US30,17601.00,3.0000,-0.0947,-0.1340,0.1000,0.10000,44.000,400.023,1.0,0.000, 
USD/CAD,1.30585,0.00009,-0.0689,-0.1103,0.0001,0.07658,2.500,400.028,1000.0,0.800, 
USD/CHF,0.96942,0.00009,0.2177,-0.5808,0.0001,0.10316,2.500,400.037,1000.0,0.600, 
USD/JPY,112.0760,0.00300,0.2400,-0.3988,0.0100,0.08923,2.500,400.011,1000.0,0.600, 
XAG/USD,15.9170,0.02000,-0.3950,0.0100,0.0100,0.50000,1.990,400.005,50.0,0.000, 
XAU/USD,1247.32,0.19000,-0.0408,-0.0036,0.0100,0.01000,3.118,400.000,1.0,0.000, 