Name,Type,Asset,ID,Lots,Open,Close,Entry,Exit,Profit,Roll,ExitType
NET,Long,AUD/USD,35180266,28,2016-03-16 20:16,2016-03-17 12:14,0.7554,0.7602,132.74,1.14,Sold
NET,Long,EUR/USD,35034891,15,2016-03-15 20:16,2016-03-18 07:10,1.1110,1.1288,263.11,-2.84,Sold
NET,Short,USD/CAD,35044377,20,2016-03-16 00:16,2016-03-18 17:03,1.3356,1.3010,515.51,-0.55,Sold
NET,Long,GBP/USD,35194743,14,2016-03-17 00:16,2016-03-21 07:55,1.4256,1.4385,178.15,-0.63,Sold
NET,Long,GBP/USD,28000,14,2016-03-17 04:16,2016-03-22 01:42,1.4253,1.4252,-1.40,0.00,Closed
NET,Short,AUD/USD,35336827,18,2016-03-18 04:16,2016-03-22 06:40,0.7651,0.7614,64.35,-2.07,Sold
NET,Long,USD/JPY,35079007,12,2016-03-16 08:16,2016-03-22 06:40,113.68,112.10,-167.06,0.77,Sold
NET,Short,XAG/USD,35305653,7,2016-03-17 16:16,2016-03-22 06:40,15.9830,15.9170,23.11,0.01,Sold
NET,Long,EUR/USD,35180267,15,2016-03-16 20:16,2016-03-22 06:40,1.1224,1.1259,47.74,-3.41,Sold
NET,Long,EUR/USD,35429995,14,2016-03-21 04:16,2016-03-22 06:40,1.1275,1.1259,-24.33,-0.53,Sold
NET,Long,EUR/USD,35490645,14,2016-03-21 16:16,2016-03-22 06:40,1.1252,1.1259,8.43,-0.53,Sold
NET,Short,UK100,35305652,1,2016-03-17 16:16,2016-03-22 06:41,6192,6197,-5.34,-0.24,Sold
NET,Long,USD/CHF,35398806,12,2016-03-18 16:16,2016-03-22 06:49,0.9683,0.9693,12.44,0.52,Sold